일자,방문인원수,counterfactual_visitors,difference
2021-06-05,14463,16207,1744
2021-06-06,13620,17835,4215
2021-06-07,2734,19300,16566
2021-06-08,3985,3842,-143
2021-06-09,1902,3538,1636
2021-06-10,1877,3127,1250
2021-06-11,1625,3564,1939
2021-06-12,8613,11166,2553
2021-06-13,7449,9803,2354
2021-06-14,1715,2343,628
2021-06-15,842,2800,1958
2021-06-16,2153,3273,1120
2021-06-17,1760,3751,1991
2021-06-18,612,2852,2240
2021-06-19,9749,11539,1790
2021-06-20,8337,10859,2522
2021-06-21,1609,2515,906
2021-06-22,1406,2968,1562
2021-06-23,948,2360,1412
2021-06-24,1303,3188,1885
2021-06-25,1821,3607,1786
2021-06-26,6151,6399,248
2021-06-27,23485,8471,-15014
2021-06-28,710,5260,4550
2021-06-29,1089,2511,1422
2021-06-30,663,3090,2427
2021-07-01,894,1209,315
2021-07-02,1050,1209,159
2021-07-03,2370,1295,-1075
2021-07-04,1094,2572,1478
2021-07-05,1459,1866,407
2021-07-06,1235,2391,1156
2021-07-07,719,863,144
2021-07-08,597,1620,1023
2021-07-09,758,1539,781
2021-07-10,2216,3755,1539
2021-07-11,1731,4265,2534
2021-07-12,596,847,251
2021-07-13,516,820,304
2021-07-14,473,827,354
2021-07-15,391,865,474
2021-07-16,344,1116,772
2021-07-17,1315,3479,2164
2021-07-18,1424,3658,2234
2021-07-19,345,677,332
2021-07-20,1987,1272,-715
2021-07-21,277,371,94
2021-07-22,264,384,120
2021-07-23,238,154,-84
2021-07-24,578,1964,1386
2021-07-25,9812,2250,-7562
2021-07-26,399,1574,1175
2021-07-27,246,1586,1340
2021-07-28,281,1516,1235
2021-07-29,475,1697,1222
2021-07-30,446,785,339
2021-07-31,1157,1693,536
2021-08-01,1176,1474,298
2021-08-02,1191,1438,247
2021-08-03,1326,1363,37
2021-08-04,986,1186,200
2021-08-05,1495,956,-539
2021-08-06,757,1469,712
2021-08-07,2232,4535,2303
2021-08-08,2267,1665,-602
2021-08-09,816,751,-65
2021-08-10,608,1046,438
2021-08-11,682,1047,365
2021-08-12,779,1098,319
2021-08-13,1184,1547,363
2021-08-14,5347,6025,678
2021-08-15,7148,5977,-1171
2021-08-16,5792,3329,-2463
2021-08-17,1312,1046,-266
2021-08-18,889,989,100
2021-08-19,1721,1227,-494
2021-08-20,1339,1526,187
2021-08-21,1164,2182,1018
2021-08-22,8136,9997,1861
2021-08-23,409,1062,653
2021-08-24,239,1264,1025
2021-08-25,1696,1751,55
2021-08-26,1299,1961,662
2021-08-27,381,3391,3010
2021-08-28,11137,13877,2740
2021-08-29,9178,10965,1787
2021-08-30,1723,2099,376
2021-08-31,242,5056,4814
2021-09-01,631,3111,2480
2021-09-02,1566,2651,1085
2021-09-03,2412,3055,643
2021-09-04,15612,14633,-979
2021-09-05,15370,14357,-1013
2021-09-06,1595,953,-642
2021-09-07,137,692,555
2021-09-08,1673,1664,-9
2021-09-09,1889,2620,731
2021-09-10,3842,3741,-101
