"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210101","7호선","청담","3080","3164","20210104",""
"20210101","7호선","강남구청","2250","2352","20210104",""
"20210101","7호선","학동","2394","2371","20210104",""
"20210101","7호선","논현","3270","3446","20210104",""
"20210101","7호선","반포","1373","1357","20210104",""
"20210101","7호선","고속터미널","4270","3497","20210104",""
"20210101","7호선","내방","2467","2359","20210104",""
"20210101","7호선","이수","3717","3464","20210104",""
"20210101","7호선","남성","2879","2729","20210104",""
"20210101","7호선","숭실대입구(살피재)","2759","2830","20210104",""
"20210101","7호선","상도","2573","2397","20210104",""
"20210101","7호선","장승배기","2663","2560","20210104",""
"20210101","7호선","신대방삼거리","4111","3934","20210104",""
"20210101","7호선","보라매","2103","1966","20210104",""
"20210101","7호선","신풍","2922","2906","20210104",""
"20210101","7호선","대림(구로구청)","3475","3505","20210104",""
"20210101","7호선","남구로","3835","3909","20210104",""
"20210101","7호선","가산디지털단지","5885","5299","20210104",""
"20210101","7호선","철산","5045","5169","20210104",""
"20210101","7호선","광명사거리","6500","6639","20210104",""
"20210101","7호선","천왕","2427","2384","20210104",""
"20210101","7호선","온수(성공회대입구)","2119","2066","20210104",""
"20210101","7호선","까치울","1790","1834","20210104",""
"20210101","7호선","부천종합운동장","1144","1147","20210104",""
"20210101","7호선","춘의","1929","1806","20210104",""
"20210101","7호선","신중동","2956","2793","20210104",""
"20210101","7호선","부천시청","3014","2904","20210104",""
"20210101","7호선","상동","3094","3141","20210104",""
"20210101","7호선","삼산체육관","1004","970","20210104",""
"20210101","7호선","굴포천","2323","2482","20210104",""
"20210101","7호선","부평구청","2365","2101","20210104",""
"20210101","8호선","암사","4706","4402","20210104",""
"20210101","8호선","천호(풍납토성)","4523","5167","20210104",""
"20210101","8호선","강동구청","2251","2251","20210104",""
"20210101","8호선","몽촌토성(평화의문)","1617","1599","20210104",""
"20210101","8호선","잠실(송파구청)","4481","4522","20210104",""
"20210101","8호선","석촌","2007","2229","20210104",""
"20210101","8호선","송파","1788","1830","20210104",""
"20210101","8호선","가락시장","1820","1976","20210104",""
"20210101","8호선","문정","2327","2221","20210104",""
"20210101","8호선","장지","5086","5370","20210104",""
"20210101","8호선","복정","2426","2248","20210104",""
"20210101","8호선","산성","1950","1973","20210104",""
"20210101","8호선","남한산성입구(성남법원.검찰청)","3451","3226","20210104",""
"20210101","8호선","단대오거리","2828","2762","20210104",""
"20210101","8호선","신흥","1546","1681","20210104",""
"20210101","8호선","수진","1618","1414","20210104",""
"20210101","8호선","모란","1409","1241","20210104",""
"20210101","9호선","개화","573","482","20210104",""
"20210101","9호선","김포공항","3002","4841","20210104",""
"20210101","9호선","공항시장","944","939","20210104",""
"20210101","9호선","신방화","1694","1646","20210104",""
"20210101","9호선","마곡나루(서울식물원)","2192","2195","20210104",""
"20210101","9호선","양천향교","2134","2046","20210104",""
"20210101","9호선","가양","4849","4650","20210104",""
"20210101","9호선","증미","1729","1687","20210104",""
"20210101","9호선","등촌","2468","2450","20210104",""
"20210101","9호선","염창","3968","3831","20210104",""
"20210101","9호선","신목동","691","606","20210104",""
"20210101","9호선","선유도","1227","1086","20210104",""
"20210101","9호선","당산","3917","3677","20210104",""
"20210101","9호선","국회의사당","1488","1334","20210104",""
"20210101","9호선","여의도","2240","2063","20210104",""
"20210101","9호선","샛강","815","777","20210104",""
"20210101","9호선","노량진","6866","7260","20210104",""
"20210101","9호선","노들","1156","1010","20210104",""
"20210101","9호선","흑석(중앙대입구)","1843","1871","20210104",""
"20210101","9호선","동작(현충원)","462","428","20210104",""
"20210101","9호선","구반포","467","494","20210104",""
"20210101","9호선","신반포","520","532","20210104",""
"20210101","9호선","고속터미널","3048","4369","20210104",""
"20210101","9호선","사평","508","483","20210104",""
"20210101","9호선","신논현","6210","6071","20210104",""
"20210101","9호선2~3단계","언주","1451","1365","20210104",""
"20210101","9호선2~3단계","선정릉","1371","1379","20210104",""
"20210101","9호선2~3단계","삼성중앙","898","908","20210104",""
"20210101","9호선2~3단계","봉은사","3334","3292","20210104",""
"20210101","9호선2~3단계","종합운동장","926","872","20210104",""
"20210101","9호선2~3단계","삼전","1817","1669","20210104",""
"20210101","9호선2~3단계","석촌고분","1537","1443","20210104",""
"20210101","9호선2~3단계","석촌","1951","1645","20210104",""
"20210101","9호선2~3단계","송파나루","1195","1153","20210104",""
"20210101","9호선2~3단계","한성백제","585","494","20210104",""
"20210101","9호선2~3단계","올림픽공원(한국체대)","1229","1199","20210104",""
"20210101","9호선2~3단계","둔촌오륜","176","190","20210104",""
"20210101","9호선2~3단계","중앙보훈병원","1448","1394","20210104",""
"20210101","경강선","판교","738","645","20210104",""
"20210101","경강선","이매","268","182","20210104",""
"20210101","경강선","삼동","383","423","20210104",""
"20210101","경강선","경기광주","1614","1685","20210104",""
"20210101","경강선","초월","766","713","20210104",""
"20210101","경강선","곤지암","666","656","20210104",""
"20210101","경강선","신둔도예촌","302","323","20210104",""
"20210101","경강선","이천","926","988","20210104",""
"20210101","경강선","부발","664","559","20210104",""
"20210101","경강선","세종대왕릉","121","111","20210104",""
"20210101","경강선","여주","750","770","20210104",""
"20210101","경부선","서울역","1363","520","20210104",""
"20210101","경부선","남영","2043","1986","20210104",""
"20210101","경부선","용산","10812","12323","20210104",""
"20210101","경부선","노량진","3362","3143","20210104",""
"20210101","경부선","대방","2717","2671","20210104",""
"20210101","경부선","영등포","13323","13885","20210104",""
"20210101","경부선","신도림","944","885","20210104",""
"20210101","경부선","신길","2502","2072","20210104",""
"20210101","경부선","구로","4952","5190","20210104",""
"20210101","경부선","가산디지털단지","2239","3083","20210104",""
"20210101","경부선","금천구청","3031","3037","20210104",""
"20210101","경부선","석수","2443","2382","20210104",""
"20210101","경부선","관악","2112","2046","20210104",""
"20210101","경부선","안양","6256","6440","20210104",""
"20210101","경부선","명학","1756","1683","20210104",""
"20210101","경부선","금정","6731","6792","20210104",""
"20210101","경부선","군포","1786","1591","20210104",""
"20210101","경부선","의왕","2167","2123","20210104",""
"20210101","경부선","성균관대","3578","3646","20210104",""
"20210101","경부선","화서","1715","1771","20210104",""
"20210101","경부선","수원","13351","14446","20210104",""
"20210101","경부선","독산","3029","3017","20210104",""
"20210101","경부선","세류","1018","990","20210104",""
"20210101","경부선","병점","4195","4293","20210104",""
"20210101","경부선","세마","748","700","20210104",""
"20210101","경부선","오산대","979","871","20210104",""
"20210101","경부선","오산","3992","3831","20210104",""
"20210101","경부선","진위","444","391","20210104",""
"20210101","경부선","송탄","1869","1683","20210104",""
"20210101","경부선","서정리","2276","1967","20210104",""
"20210101","경부선","지제","862","923","20210104",""
"20210101","경부선","평택","5087","5111","20210104",""
"20210101","경부선","성환","1289","1156","20210104",""
"20210101","경부선","직산","279","258","20210104",""
"20210101","경부선","두정","2101","2111","20210104",""
"20210101","경부선","천안","2302","2505","20210104",""
"20210101","경부선","당정","1389","1394","20210104",""
"20210101","경부선","서동탄","313","327","20210104",""
"20210101","경부선","광명","686","688","20210104",""
"20210101","경원선","이촌(국립중앙박물관)","828","637","20210104",""
"20210101","경원선","서빙고","427","365","20210104",""
"20210101","경원선","한남","1014","929","20210104",""
"20210101","경원선","옥수","9","18","20210104",""
"20210101","경원선","응봉","550","475","20210104",""
"20210101","경원선","왕십리(성동구청)","4224","5014","20210104",""
"20210101","경원선","청량리(서울시립대입구)","4434","5033","20210104",""
"20210101","경원선","외대앞","2275","2208","20210104",""
"20210101","경원선","신이문","2439","2308","20210104",""
"20210101","경원선","석계","2415","2556","20210104",""
"20210101","경원선","광운대","2238","2262","20210104",""
"20210101","경원선","월계","1949","1895","20210104",""
"20210101","경원선","녹천","1461","1203","20210104",""
"20210101","경원선","방학","3024","2933","20210104",""
"20210101","경원선","도봉","1805","1765","20210104",""
"20210101","경원선","도봉산","4159","2890","20210104",""
"20210101","경원선","망월사","2131","2236","20210104",""
"20210101","경원선","회룡","3280","3378","20210104",""
"20210101","경원선","의정부","6357","6358","20210104",""
"20210101","경원선","가능","2071","2035","20210104",""
"20210101","경원선","녹양","1302","1307","20210104",""
"20210101","경원선","양주","2221","2255","20210104",""
"20210101","경원선","덕계","739","779","20210104",""
"20210101","경원선","덕정","1625","1606","20210104",""
"20210101","경원선","지행","2089","2102","20210104",""
"20210101","경원선","동두천중앙","1108","1154","20210104",""
"20210101","경원선","보산","700","762","20210104",""
"20210101","경원선","동두천","568","714","20210104",""
"20210101","경원선","소요산","1555","1447","20210104",""
"20210101","경의선","서울역","370","408","20210104",""
"20210101","경의선","신촌","97","85","20210104",""
"20210101","경의선","효창공원앞","647","686","20210104",""
"20210101","경의선","공덕","821","659","20210104",""
"20210101","경의선","서강대","548","495","20210104",""
"20210101","경의선","홍대입구","546","577","20210104",""
"20210101","경의선","가좌","1296","1238","20210104",""
"20210101","경의선","디지털미디어시티","652","554","20210104",""
"20210101","경의선","수색","431","434","20210104",""
"20210101","경의선","화전","312","309","20210104",""
"20210101","경의선","강매","641","640","20210104",""
"20210101","경의선","행신","1693","1782","20210104",""
"20210101","경의선","능곡","1025","1033","20210104",""
"20210101","경의선","곡산","113","117","20210104",""
"20210101","경의선","백마","1430","1404","20210104",""
"20210101","경의선","풍산","1537","1460","20210104",""
"20210101","경의선","일산","2003","2087","20210104",""
"20210101","경의선","탄현","1906","1838","20210104",""
"20210101","경의선","야당","1730","1651","20210104",""
"20210101","경의선","운정","1439","1471","20210104",""
"20210101","경의선","금릉","1189","1243","20210104",""
"20210101","경의선","금촌","2149","2215","20210104",""
"20210101","경의선","월롱","546","491","20210104",""
"20210101","경의선","파주","301","283","20210104",""
"20210101","경의선","문산","1617","1698","20210104",""
"20210101","경의선","임진강","25","13","20210104",""
"20210101","경인선","개봉","5826","5924","20210104",""
"20210101","경인선","오류동","3443","3180","20210104",""
"20210101","경인선","역곡","7389","7375","20210104",""
"20210101","경인선","부천","12103","12686","20210104",""
"20210101","경인선","송내","6257","6331","20210104",""
"20210101","경인선","부평","11452","12071","20210104",""
"20210101","경인선","백운","2080","2095","20210104",""
"20210101","경인선","동암","5247","5398","20210104",""
"20210101","경인선","주안","6156","5593","20210104",""
"20210101","경인선","제물포","2900","2752","20210104",""
"20210101","경인선","동인천","4614","4484","20210104",""
"20210101","경인선","인천","1817","1456","20210104",""
